PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,PressureSensor 32,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP,Tiempo (mm:ss.mmm)
21,76,26,38,717,993,847,316,2701,1725,27,944,736,1234,1089,1806,282,1187,72,19,222,25,91,64,203,548,1632,2572,1950,1493,229,1211,838,1735,8077,61,-175,-36,68.22722744660504,300.0965890978642,25096,00:01.246
21,75,27,39,716,980,846,314,2708,1725,27,930,733,1240,1065,1798,268,1183,73,19,218,25,83,70,204,553,1626,2579,1951,1498,237,1216,841,1748,8076,72,-200,-41,68.21405757176508,300.584760649978,25047,00:01.261
21,69,26,36,707,972,815,309,2703,1721,26,915,732,1242,1031,1792,280,1180,63,20,211,25,84,64,210,559,1625,2602,1963,1504,245,1232,841,1748,8076,72,-200,-41,68.27535622798591,301.6010846942043,24984,00:01.276
20,66,26,30,677,948,784,283,2697,1698,26,866,737,1251,850,1786,257,1173,60,19,192,28,93,56,218,578,1628,2656,1993,1513,271,1270,885,1755,8103,76,-203,-41,68.54109090909091,304.4861818181818,24750,00:01.292
21,65,26,26,669,947,772,262,2700,1696,27,854,737,1252,811,1778,243,1158,55,20,193,27,86,55,219,587,1626,2664,2003,1520,271,1293,885,1755,8103,76,-203,-41,68.51666463933827,305.5422495235778,24663,00:01.307
21,67,26,27,644,937,744,246,2695,1693,27,835,744,1261,752,1778,235,1149,50,19,187,27,101,53,221,603,1635,2685,2021,1524,262,1314,877,1736,8054,96,-219,-47,68.6256559410975,306.8554285481837,24583,00:01.323
21,73,26,28,634,932,724,239,2678,1678,27,816,746,1263,742,1759,255,1133,50,19,173,32,93,55,220,624,1636,2699,2036,1521,248,1335,836,1723,8073,97,-222,-42,68.75437487252702,307.5575362023251,24515,00:01.338
21,78,26,38,619,919,715,217,2676,1668,26,796,750,1267,665,1746,241,1121,52,19,167,29,95,57,209,641,1640,2704,2048,1529,252,1361,836,1723,8073,97,-222,-42,68.84902836995737,308.6577566415218,24392,00:01.353
21,75,26,36,611,910,690,215,2648,1655,27,786,751,1273,660,1724,245,1119,49,19,164,32,109,55,246,657,1664,2719,2056,1531,273,1380,860,1759,8077,87,-200,-39,69.12355686563498,310.042291001392,24426,00:01.369
21,67,26,37,602,901,681,218,2648,1646,26,766,752,1273,637,1708,249,1115,43,19,158,30,113,61,262,679,1659,2737,2075,1536,300,1397,867,1754,8063,72,-188,-44,69.27663448162998,311.14816708943624,24442,00:01.384
21,60,26,38,585,890,671,215,2620,1631,26,751,758,1278,617,1693,244,1116,41,19,156,26,115,58,272,696,1687,2750,2080,1546,289,1413,867,1730,8070,85,-212,-44,69.49848286042315,312.3438781367886,24388,00:01.400
21,58,25,37,572,879,615,209,2595,1617,26,725,763,1283,588,1683,224,1100,41,19,135,27,103,59,305,719,1699,2769,2103,1550,334,1432,866,1740,8097,85,-172,-45,69.55083281924738,314.8861196792104,24315,00:01.415
21,60,26,29,554,864,546,197,2594,1608,26,708,772,1290,521,1667,206,1073,39,20,116,26,61,60,315,750,1703,2799,2124,1558,403,1457,854,1723,8071,104,-151,-50,69.40189310957714,317.9143140577853,24193,00:01.430
21,56,26,37,529,846,491,169,2571,1590,26,675,782,1297,571,1667,201,1036,41,19,87,30,59,59,332,784,1724,2823,2163,1567,346,1491,854,1723,8071,104,-151,-50,69.45658483994029,320.093506385802,24116,00:01.446
21,64,26,20,499,831,427,152,2540,1552,27,648,792,1302,575,1643,174,1011,26,19,66,31,68,62,366,831,1746,2866,2197,1576,339,1516,860,1775,8081,113,-163,-62,69.64996043809603,323.4276017157373,24013,00:01.461
21,57,26,20,474,809,336,138,2506,1518,26,593,793,1313,487,1623,177,982,26,19,54,27,68,54,390,883,1806,2922,2226,1588,443,1564,839,1744,8094,96,-122,-51,70.0061955025241,327.86774583837456,23969,00:01.476
21,53,25,20,435,773,277,137,2454,1474,26,469,794,1320,490,1576,173,969,27,19,39,29,61,57,436,937,1845,3021,2272,1606,455,1591,832,1766,8076,67,-96,-51,70.64955403877559,331.9191198023533,23881,00:01.492
21,58,25,20,388,744,182,131,2395,1415,26,421,796,1335,394,1545,173,924,25,20,32,29,43,46,448,1018,1918,3056,2318,1621,489,1638,856,1742,8079,85,-59,-75,71.09654342871613,336.6435173461636,23694,00:01.507
21,59,25,20,339,704,101,105,2316,1381,26,386,809,1353,423,1529,162,814,24,19,25,26,38,56,522,1121,1998,3081,2348,1650,614,1684,856,1742,8079,85,-59,-75,71.38037764413978,342.8768871693511,23779,00:01.523
21,51,24,20,297,672,28,95,2234,1382,25,383,825,1368,413,1508,131,678,24,20,25,23,27,56,637,1233,2049,3109,2378,1668,656,1717,850,1733,8129,157,-61,-90,71.4979812423771,348.78329898641545,23777,00:01.538
21,48,24,20,229,637,29,88,2172,1365,25,353,843,1378,399,1488,115,560,24,19,21,24,29,53,692,1332,2112,3138,2414,1686,655,1748,803,1741,8067,166,-61,-90,71.78339160102776,353.4035634556253,23741,00:01.553
22,45,24,20,212,611,28,85,2128,1350,25,347,851,1392,417,1485,104,457,25,19,20,24,28,57,743,1412,2165,3148,2431,1695,767,1772,835,1736,8029,165,-43,-90,71.85835877702957,357.08354594504164,23909,00:01.569
22,49,24,20,189,590,27,71,2119,1334,25,335,864,1404,404,1488,77,359,23,19,19,23,27,48,786,1537,2260,3159,2443,1712,883,1808,854,1756,8092,193,48,-112,71.97020457180719,361.271906576114,24148,00:01.584
21,49,23,20,165,566,26,70,2029,1273,25,332,859,1421,416,1500,28,281,23,19,19,21,27,45,947,1666,2361,3176,2485,1721,1095,1813,765,1770,8043,215,36,-134,72.53427534458854,367.153331702145,24522,00:01.600
21,46,23,19,146,561,26,68,1949,1194,25,338,856,1423,429,1515,21,233,23,19,19,20,26,45,1031,1815,2463,3177,2533,1739,1225,1845,765,1770,8043,215,36,-134,73.23000844288988,371.0951433281068,24873,00:01.615
21,47,23,19,131,540,26,65,1864,1120,24,325,854,1439,446,1492,21,186,22,19,19,21,25,40,1184,1943,2583,3204,2552,1747,1378,1888,811,1754,8121,225,25,-140,74.0476492005699,375.57315577014407,25268,00:01.630
21,38,22,19,105,508,25,67,1733,1040,24,323,882,1456,439,1498,37,98,22,19,19,22,24,45,1333,2101,2679,3221,2573,1773,1618,1905,815,1784,8099,303,28,-166,74.84491416559617,381.0170306356807,25689,00:01.646
