Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
25,CSV,Mid-swing,00:36.428,00:36.628,00:00.200,00:35.384,00:01.431,00:35.780,00:01.366
25,CSV,Terminal swing,00:36.628,00:36.814,00:00.186,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Heel strike - Loading response,00:35.780,00:35.916,00:00.136,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Mid-stance,00:35.916,00:36.189,00:00.273,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Terminal stance,00:36.189,00:36.463,00:00.273,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Pre-swing,00:36.463,00:36.599,00:00.136,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Toe-off,00:36.599,00:36.777,00:00.177,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Mid-swing,00:36.777,00:36.968,00:00.191,00:35.384,00:01.431,00:35.780,00:01.366
25,Video,Terminal swing,00:36.968,00:37.146,00:00.177,00:35.384,00:01.431,00:35.780,00:01.366
26,CSV,Heel strike - Loading response,00:36.814,00:36.950,00:00.135,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Mid-stance,00:36.950,00:37.221,00:00.270,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Terminal stance,00:37.221,00:37.491,00:00.270,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Pre-swing,00:37.491,00:37.627,00:00.135,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Toe-off,00:37.627,00:37.803,00:00.176,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Mid-swing,00:37.803,00:37.992,00:00.189,00:36.815,00:01.354,00:37.146,00:01.399
26,CSV,Terminal swing,00:37.992,00:38.168,00:00.176,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Heel strike - Loading response,00:37.146,00:37.285,00:00.139,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Mid-stance,00:37.285,00:37.565,00:00.279,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Terminal stance,00:37.565,00:37.845,00:00.279,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Pre-swing,00:37.845,00:37.985,00:00.139,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Toe-off,00:37.985,00:38.167,00:00.181,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Mid-swing,00:38.167,00:38.363,00:00.195,00:36.815,00:01.354,00:37.146,00:01.399
26,Video,Terminal swing,00:38.363,00:38.545,00:00.181,00:36.815,00:01.354,00:37.146,00:01.399
29,CSV,Heel strike - Loading response,00:41.030,00:41.168,00:00.138,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Mid-stance,00:41.168,00:41.445,00:00.277,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Terminal stance,00:41.445,00:41.722,00:00.277,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Pre-swing,00:41.722,00:41.860,00:00.138,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Toe-off,00:41.860,00:42.041,00:00.180,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Mid-swing,00:42.041,00:42.234,00:00.193,00:41.030,00:01.385,00:41.544,00:01.432
29,CSV,Terminal swing,00:42.234,00:42.414,00:00.180,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Heel strike - Loading response,00:41.543,00:41.687,00:00.143,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Mid-stance,00:41.687,00:41.973,00:00.286,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Terminal stance,00:41.973,00:42.259,00:00.286,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Pre-swing,00:42.259,00:42.403,00:00.143,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Toe-off,00:42.403,00:42.589,00:00.186,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Mid-swing,00:42.589,00:42.789,00:00.200,00:41.030,00:01.385,00:41.544,00:01.432
29,Video,Terminal swing,00:42.789,00:42.975,00:00.186,00:41.030,00:01.385,00:41.544,00:01.432
30,CSV,Heel strike - Loading response,00:42.414,00:42.553,00:00.138,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Mid-stance,00:42.553,00:42.830,00:00.277,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Terminal stance,00:42.830,00:43.107,00:00.277,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Pre-swing,00:43.107,00:43.246,00:00.138,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Toe-off,00:43.246,00:43.426,00:00.180,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Mid-swing,00:43.426,00:43.619,00:00.193,00:42.415,00:01.385,00:42.976,00:01.400
30,CSV,Terminal swing,00:43.619,00:43.799,00:00.180,00:42.415,00:01.385,00:42.976,00:01.400
30,Video,Heel strike - Loading response,00:42.975,00:43.115,00:00.140,00:42.415,00:01.385,00:42.976,00:01.400
30,Video,Mid-stance,00:43.115,00:43.396,00:00.280,00:42.415,00:01.385,00:42.976,00:01.400
30,Video,Terminal stance,00:43.396,00:43.676,00:00.280,00:42.415,00:01.385,00:42.976,00:01.400
