Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
10,Video,Toe-off,00:15.130,00:15.282,00:00.151,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Mid-swing,00:15.282,00:15.445,00:00.163,00:14.323,00:01.153,00:14.431,00:01.166
10,Video,Terminal swing,00:15.445,00:15.596,00:00.151,00:14.323,00:01.153,00:14.431,00:01.166
11,CSV,Heel strike - Loading response,00:15.475,00:15.589,00:00.113,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Mid-stance,00:15.589,00:15.817,00:00.227,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Terminal stance,00:15.817,00:16.045,00:00.227,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Pre-swing,00:16.045,00:16.159,00:00.113,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Toe-off,00:16.159,00:16.307,00:00.148,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Mid-swing,00:16.307,00:16.466,00:00.159,00:15.476,00:01.139,00:15.597,00:01.166
11,CSV,Terminal swing,00:16.466,00:16.614,00:00.148,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Heel strike - Loading response,00:15.596,00:15.713,00:00.116,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Mid-stance,00:15.713,00:15.946,00:00.233,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Terminal stance,00:15.946,00:16.179,00:00.233,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Pre-swing,00:16.179,00:16.296,00:00.116,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Toe-off,00:16.296,00:16.448,00:00.151,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Mid-swing,00:16.448,00:16.611,00:00.163,00:15.476,00:01.139,00:15.597,00:01.166
11,Video,Terminal swing,00:16.611,00:16.763,00:00.151,00:15.476,00:01.139,00:15.597,00:01.166
14,CSV,Heel strike - Loading response,00:19.646,00:19.745,00:00.100,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Mid-stance,00:19.745,00:19.946,00:00.200,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Terminal stance,00:19.946,00:20.146,00:00.200,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Pre-swing,00:20.146,00:20.245,00:00.100,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Toe-off,00:20.245,00:20.376,00:00.130,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Mid-swing,00:20.376,00:20.515,00:00.140,00:19.646,00:01.000,00:19.462,00:01.400
14,CSV,Terminal swing,00:20.515,00:20.646,00:00.130,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Heel strike - Loading response,00:19.461,00:19.602,00:00.140,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Mid-stance,00:19.602,00:19.882,00:00.280,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Terminal stance,00:19.882,00:20.161,00:00.280,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Pre-swing,00:20.161,00:20.301,00:00.140,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Toe-off,00:20.301,00:20.484,00:00.182,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Mid-swing,00:20.484,00:20.679,00:00.196,00:19.646,00:01.000,00:19.462,00:01.400
14,Video,Terminal swing,00:20.679,00:20.861,00:00.182,00:19.646,00:01.000,00:19.462,00:01.400
15,CSV,Heel strike - Loading response,00:20.646,00:20.772,00:00.126,00:20.646,00:01.261,00:20.862,00:00.266
