Zancada,Método,Fase,Inicio_fase,Fin_fase,Duración_fase,Inicio_zancada_CSV,Duración_zancada_CSV,Inicio_zancada_video,Duración_zancada_video
20,CSV,Heel strike - Loading response,00:24.937,00:25.076,00:00.138,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Mid-stance,00:25.076,00:25.353,00:00.277,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Terminal stance,00:25.353,00:25.630,00:00.277,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Pre-swing,00:25.630,00:25.768,00:00.138,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Toe-off,00:25.768,00:25.949,00:00.180,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Mid-swing,00:25.949,00:26.142,00:00.193,00:24.938,00:01.385,00:25.226,00:01.433
20,CSV,Terminal swing,00:26.142,00:26.323,00:00.180,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Heel strike - Loading response,00:25.225,00:25.369,00:00.143,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Mid-stance,00:25.369,00:25.655,00:00.286,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Terminal stance,00:25.655,00:25.942,00:00.286,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Pre-swing,00:25.942,00:26.085,00:00.143,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Toe-off,00:26.085,00:26.272,00:00.186,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Mid-swing,00:26.272,00:26.472,00:00.200,00:24.938,00:01.385,00:25.226,00:01.433
20,Video,Terminal swing,00:26.472,00:26.658,00:00.186,00:24.938,00:01.385,00:25.226,00:01.433
21,CSV,Heel strike - Loading response,00:26.323,00:26.435,00:00.112,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Mid-stance,00:26.435,00:26.659,00:00.224,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Terminal stance,00:26.659,00:26.884,00:00.224,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Pre-swing,00:26.884,00:26.996,00:00.112,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Toe-off,00:26.996,00:27.142,00:00.145,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Mid-swing,00:27.142,00:27.300,00:00.157,00:26.323,00:01.123,00:26.659,00:01.166
21,CSV,Terminal swing,00:27.300,00:27.446,00:00.145,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Heel strike - Loading response,00:26.658,00:26.775,00:00.116,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Mid-stance,00:26.775,00:27.008,00:00.233,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Terminal stance,00:27.008,00:27.242,00:00.233,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Pre-swing,00:27.242,00:27.358,00:00.116,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Toe-off,00:27.358,00:27.510,00:00.151,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Mid-swing,00:27.510,00:27.673,00:00.163,00:26.323,00:01.123,00:26.659,00:01.166
21,Video,Terminal swing,00:27.673,00:27.824,00:00.151,00:26.323,00:01.123,00:26.659,00:01.166
22,CSV,Heel strike - Loading response,00:27.446,00:27.568,00:00.123,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Mid-stance,00:27.568,00:27.815,00:00.246,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Terminal stance,00:27.815,00:28.060,00:00.246,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Pre-swing,00:28.060,00:28.184,00:00.123,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Toe-off,00:28.184,00:28.343,00:00.159,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Mid-swing,00:28.343,00:28.516,00:00.172,00:27.446,00:01.230,00:27.825,00:01.266
22,CSV,Terminal swing,00:28.516,00:28.675,00:00.159,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Heel strike - Loading response,00:27.824,00:27.951,00:00.126,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Mid-stance,00:27.951,00:28.204,00:00.253,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Terminal stance,00:28.204,00:28.457,00:00.253,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Pre-swing,00:28.457,00:28.584,00:00.126,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Toe-off,00:28.584,00:28.749,00:00.164,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Mid-swing,00:28.749,00:28.926,00:00.177,00:27.446,00:01.230,00:27.825,00:01.266
22,Video,Terminal swing,00:28.926,00:29.091,00:00.164,00:27.446,00:01.230,00:27.825,00:01.266
25,CSV,Heel strike - Loading response,00:31.414,00:31.536,00:00.121,00:31.415,00:01.215,00:31.790,00:01.266
25,CSV,Mid-stance,00:31.536,00:31.779,00:00.243,00:31.415,00:01.215,00:31.790,00:01.266
25,CSV,Terminal stance,00:31.779,00:32.022,00:00.243,00:31.415,00:01.215,00:31.790,00:01.266
